24189	Strengthen Agriculture	\N	Strengthen Agriculture	\N	\N	In The Program Strengthen Agriculture And Horti Culture	\N	In The Program Strengthen Agriculture And Horti Culture	\N	\N	2014-07-25	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24649	Handicraft	\N	Handicraft	\N	\N	Sewing bags and wallets	\N	Sewing bags and wallets	\N	\N	2012-01-01	2015-07-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
595	Creating Employment after Vocational Training	\N	Creating Employment after Vocational Training	\N	\N	this project aims at providing capital for graduate students of the centre to create their employmen	\N	this project aims at providing capital for graduate students of the centre to create their employmen	\N	\N	2007-12-06	2007-07-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
598	TL 4 Laclo Drinking Water - Supply System	\N	TL 4 Laclo Drinking Water - Supply System	\N	\N	\N	\N	\N	\N	\N	2007-03-07	2007-09-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
600	An-Power kapasity for  Development Education Non-Formal and Infantil	\N	An-Power kapasity for  Development Education Non-Formal and Infantil	\N	\N	\N	\N	\N	\N	\N	2007-02-07	2007-03-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
631	Family latrine construction	\N	Family latrine construction	\N	\N	Watsan, Agriculture, Tech Assistance, Home industry and reconstruction	\N	Watsan, Agriculture, Tech Assistance, Home industry and reconstruction	\N	\N	2003-06-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
636	WSS Project	\N	WSS Project	\N	\N	To improve health and hygiene standard by providing permanent clean water supply for 79 families	\N	To improve health and hygiene standard by providing permanent clean water supply for 79 families	\N	\N	2002-08-01	2002-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24115	ISAT Skills Training Academy	\N	ISAT Skills Training Academy	\N	\N	Participants in the First Aid course will gain the necessary skills	\N	Participants in the First Aid course will gain the necessary skills	\N	\N	2014-04-07	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
643	Family Hope Orphanage	\N	Family Hope Orphanage	\N	\N	To provide East Timores children who are orphaned or living in poverty, with a loving, healthy envir	\N	To provide East Timores children who are orphaned or living in poverty, with a loving, healthy envir	\N	\N	2002-08-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24029	Community Led Rural Development Program	\N	Community Led Rural Development Program	\N	\N	With the model into discourse with community leaders and Oxfam working with partners strengthen	\N	With the model into discourse with community leaders and Oxfam working with partners strengthen	\N	\N	2012-07-01	2016-12-01	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
659	Fishing Taining on Sea Cucumber	\N	Fishing Taining on Sea Cucumber	\N	\N	\N	\N	\N	\N	\N	2003-05-13	2003-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
663	Oecusse returnee support project	\N	Oecusse returnee support project	\N	\N	To succesfully undertake the repatriation/reconciliation activities currently undertaken by UNHCR	\N	To succesfully undertake the repatriation/reconciliation activities currently undertaken by UNHCR	\N	\N	2002-08-01	2005-07-05	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22962	Apoio ao Fortalecimento do Programa de Merendar Escolar de Timor Leste	\N	Apoio ao Fortalecimento do Programa de Merendar Escolar de Timor Leste	\N	\N	On-going	\N	On-going	\N	\N	2010-02-11	2012-02-11	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22963	Refor?o ? Cadeia Produtiva de Leite em Timor Leste	\N	Refor?o ? Cadeia Produtiva de Leite em Timor Leste	\N	\N	\N	\N	\N	\N	\N	2010-11-01	2012-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24125	ICT Program	\N	ICT Program	\N	\N	Media, Comunication, Technology and Alternative	\N	Media, Comunication, Technology and Alternative	\N	\N	2014-01-20	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23974	Socialization Of Domestic Violence	\N	Socialization Of Domestic Violence	\N	\N	Socialization for Students	\N	Socialization for Students	\N	\N	2014-02-01	2015-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
740	Information and Training Center	\N	Information and Training Center	\N	\N	To provide training in trade and vocational skills to support the micro-finance project.  Also provi	\N	To provide training in trade and vocational skills to support the micro-finance project.  Also provi	\N	\N	2002-07-01	2003-06-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
744	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
746	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
769	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
770	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
774	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23220	Homan	\N	Homan	\N	\N	Hamutuk ho membru grupu homan pasta, kartera, kohe mama, raga aifunan, sapeo	\N	Hamutuk ho membru grupu homan pasta, kartera, kohe mama, raga aifunan, sapeo	\N	\N	2003-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
787	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
794	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
795	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24166	To Improve Livelihood of the Poor Rice Farmers	\N	To Improve Livelihood of the Poor Rice Farmers	\N	\N	Planting of rice for distribution to the poor	\N	Planting of rice for distribution to the poor	\N	\N	2013-06-17	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22955	Maternal and Child Health Nutrition (MCHN)	\N	Maternal and Child Health Nutrition (MCHN)	\N	\N	Food-security and vulnerable groups to improve their nutritional status	\N	Food-security and vulnerable groups to improve their nutritional status	\N	\N	2011-09-01	2013-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23518	Culture Development  (kultura beia ala sira nebe spesifiku)	\N	Culture Development  (kultura beia ala sira nebe spesifiku)	\N	\N	\N	\N	\N	\N	\N	2008-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
810	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
820	Agriculture Tranning (Making Teras sering/Water and soil conservation thecnical)	\N	Agriculture Tranning (Making Teras sering/Water and soil conservation thecnical)	\N	\N	How to increase the cappacity  memers of the group  in Agricuture sectors	\N	How to increase the cappacity  memers of the group  in Agricuture sectors	\N	\N	2005-11-01	2005-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24738	Proteksaun no Manutensaun ba kualidade be'e moos	\N	Proteksaun no Manutensaun ba kualidade be'e moos	\N	\N	Halo Proteksaun no manutensaun ba be'e matan	\N	Halo Proteksaun no manutensaun ba be'e matan	\N	\N	2015-09-01	2015-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
826	Management training : Finance management,Organization management, and Lidership,Marketing	\N	Management training : Finance management,Organization management, and Lidership,Marketing	\N	\N	How to increase the cappacity the members of the group	\N	How to increase the cappacity the members of the group	\N	\N	2002-11-05	2005-02-12	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
833	Capacity Development for organization	\N	Capacity Development for organization	\N	\N	Suport Computer for this organization to do the activity	\N	Suport Computer for this organization to do the activity	\N	\N	2005-06-20	2005-06-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23519	Education non Formal	\N	Education non Formal	\N	\N	Capacity building for youth	\N	Capacity building for youth	\N	\N	2012-08-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
853	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
864	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
875	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24739	Towards a Strenthened Civil Society for a Better Protection of Children and Women Victims of Violence	\N	Towards a Strenthened Civil Society for a Better Protection of Children and Women Victims of Violence	\N	\N	The Project aims to durably improve the situation of women and children victims of domestic violence	\N	The Project aims to durably improve the situation of women and children victims of domestic violence	\N	\N	2013-11-01	2016-12-31	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
882	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
884	Training and Promotion to saroa (Agriculture)	\N	Training and Promotion to saroa (Agriculture)	\N	\N	\N	\N	\N	\N	\N	2005-11-01	2006-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
899	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
907	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24177	Climate Change Prevention	\N	Climate Change Prevention	\N	\N	Planting trees and tree nurseries to divide the community	\N	Planting trees and tree nurseries to divide the community	\N	\N	2014-03-01	2014-10-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
923	IGAs	\N	IGAs	\N	\N	\N	\N	\N	\N	\N	2005-06-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24124	Gender Equality	\N	Gender Equality	\N	\N	Law violation woman, Domestic Violence, Court Monitoring, training for law	\N	Law violation woman, Domestic Violence, Court Monitoring, training for law	\N	\N	2014-03-03	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
929	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
937	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
950	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24653	Rural Development	\N	Rural Development	\N	\N	Increase public knowledge of the rural area through training and facilitation training to	\N	Increase public knowledge of the rural area through training and facilitation training to	\N	\N	2002-03-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24130	Health	\N	Health	\N	\N	Water  Sanitation, Latrine, Higine, Envairoment, & Sanitation Promotion	\N	Water  Sanitation, Latrine, Higine, Envairoment, & Sanitation Promotion	\N	\N	2013-02-25	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
962	IGAs (Income Generation Activities)	\N	IGAs (Income Generation Activities)	\N	\N	\N	\N	\N	\N	\N	2006-02-01	2007-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
964	Staff Training	\N	Staff Training	\N	\N	\N	\N	\N	\N	\N	2005-08-01	2005-08-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
970	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
984	Income Generation Activity (IGA)	\N	Income Generation Activity (IGA)	\N	\N	Saving and Credit	\N	Saving and Credit	\N	\N	2005-09-03	2007-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24128	Peace Building Project	\N	Peace Building Project	\N	\N	Sosialization  Information peace to Youth and network service in rural area	\N	Sosialization  Information peace to Youth and network service in rural area	\N	\N	2013-01-13	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
999	ABC Project	\N	ABC Project	\N	\N	\N	\N	\N	\N	\N	2005-09-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1002	LAFAEK: Children's Rights Magazine	\N	LAFAEK: Children's Rights Magazine	\N	\N	Children's magazine and teacher's guide for primary school children, designed to increase awareness	\N	Children's magazine and teacher's guide for primary school children, designed to increase awareness	\N	\N	2000-11-01	2002-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1011	SOA (Social Operation Appeal)	\N	SOA (Social Operation Appeal)	\N	\N	\N	\N	\N	\N	\N	2007-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24119	Agriculture	\N	Agriculture	\N	\N	Simple Househood Farming	\N	Simple Househood Farming	\N	\N	2014-02-10	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24120	Health	\N	Health	\N	\N	Basic Health Primary Nutrition, Difisiente fisiku, Visual, Audio & Mental	\N	Basic Health Primary Nutrition, Difisiente fisiku, Visual, Audio & Mental	\N	\N	2013-02-18	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1029	Issue Domestic Violence	\N	Issue Domestic Violence	\N	\N	\N	\N	\N	\N	\N	2004-08-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
2777	Human Rights	\N	Human Rights	\N	\N	\N	\N	\N	\N	\N	2008-02-01	2008-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24182	Sustainable Agriculture Development	\N	Sustainable Agriculture Development	\N	\N	Tharcugh aero & biodiviercity	\N	Tharcugh aero & biodiviercity	\N	\N	2014-05-01	2015-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24183	Protection for accident	\N	Protection for accident	\N	\N	Make socialization in the community how the accident protection	\N	Make socialization in the community how the accident protection	\N	\N	2012-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
23688	House Hold	\N	House Hold	\N	\N	\N	\N	\N	\N	\N	2011-07-15	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24140	Construction School EBC Manleuana Project	\N	Construction School EBC Manleuana Project	\N	\N	Building New School in Manleuana Dili - East Timor	\N	Building New School in Manleuana Dili - East Timor	\N	\N	2013-12-01	2014-05-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1112	Management training	\N	Management training	\N	\N	Reforce the communities had benefit for using water to how to manage the material for long term	\N	Reforce the communities had benefit for using water to how to manage the material for long term	\N	\N	2004-04-28	2004-05-05	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24132	Clinic Program	\N	Clinic Program	\N	\N	Sosialization Reproductive Health For Youth & Women	\N	Sosialization Reproductive Health For Youth & Women	\N	\N	2013-02-18	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1121	Income Generation Workshop	\N	Income Generation Workshop	\N	\N	Running a training program with women to promote sustainable income generation activities	\N	Running a training program with women to promote sustainable income generation activities	\N	\N	2003-06-10	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23516	Food Security	\N	Food Security	\N	\N	Building food security & resilence among house hold	\N	Building food security & resilence among house hold	\N	\N	2010-01-01	2013-12-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24113	Disastre Risk Reduction (DRR)	\N	Disastre Risk Reduction (DRR)	\N	\N	Natural Resources, Environment and Energy	\N	Natural Resources, Environment and Energy	\N	\N	2014-02-24	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1131	Journalism Training	\N	Journalism Training	\N	\N	Theoretical and Practical training for students on creating a news bulletin in their schools.	\N	Theoretical and Practical training for students on creating a news bulletin in their schools.	\N	\N	2003-11-01	2003-03-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1132	Dialogue on Local Government Structure	\N	Dialogue on Local Government Structure	\N	\N	Dialogue on  local government structure between local leaders and community members and  representat	\N	Dialogue on  local government structure between local leaders and community members and  representat	\N	\N	2003-02-01	2003-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1135	Animal Husbandry	\N	Animal Husbandry	\N	\N	\N	\N	\N	\N	\N	2004-06-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24188	Agriculture	\N	Agriculture	\N	\N	With farmers planting trees	\N	With farmers planting trees	\N	\N	2013-05-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1139	Microcredit Traning	\N	Microcredit Traning	\N	\N	Training for the small group in Baguia sub district	\N	Training for the small group in Baguia sub district	\N	\N	2004-09-30	2011-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1141	Civic Education	\N	Civic Education	\N	\N	To help the communities in the rural area to accept the all information about HR, TL Constitution, V	\N	To help the communities in the rural area to accept the all information about HR, TL Constitution, V	\N	\N	2000-09-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1154	Dialogue on Local Government Structure	\N	Dialogue on Local Government Structure	\N	\N	Dialogue on  local government structure between local leaders and community members and  representat	\N	Dialogue on  local government structure between local leaders and community members and  representat	\N	\N	2002-11-01	2002-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1160	Sewing Project	\N	Sewing Project	\N	\N	To increase capacity for women group in rural area	\N	To increase capacity for women group in rural area	\N	\N	2004-06-13	2008-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1170	Management Training	\N	Management Training	\N	\N	To increase and recognize the capacity for women group in rural area	\N	To increase and recognize the capacity for women group in rural area	\N	\N	2004-07-13	2008-04-21	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1173	Congress Renetil	\N	Congress Renetil	\N	\N	\N	\N	\N	\N	\N	2004-10-13	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24191	Education Formal	\N	Education Formal	\N	\N	Established schools, Group Woman, Youth, Exchange study, Radio Cave ext	\N	Established schools, Group Woman, Youth, Exchange study, Radio Cave ext	\N	\N	2002-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1181	Computer Training for Youth	\N	Computer Training for Youth	\N	\N	\N	\N	\N	\N	\N	2004-07-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1183	Management Training	\N	Management Training	\N	\N	To increase capacity for women group in rural area	\N	To increase capacity for women group in rural area	\N	\N	2002-10-01	2003-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1185	Bridge Rehabilitation	\N	Bridge Rehabilitation	\N	\N	Rehabilitating a bridge from the Carau-Ulun aldeia to the suco	\N	Rehabilitating a bridge from the Carau-Ulun aldeia to the suco	\N	\N	2003-12-01	2004-03-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1213	Build Sanitation project	\N	Build Sanitation project	\N	\N	\N	\N	\N	\N	\N	2004-02-18	2004-02-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24164	Agriculture Program	\N	Agriculture Program	\N	\N	Maintaining fish	\N	Maintaining fish	\N	\N	2013-05-15	2016-11-30	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1217	Violence Domestic workshop	\N	Violence Domestic workshop	\N	\N	Monitoring and Evaluation in 5 sucos in Atabae sub district	\N	Monitoring and Evaluation in 5 sucos in Atabae sub district	\N	\N	2004-03-04	2004-03-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1218	Civic Education for Children	\N	Civic Education for Children	\N	\N	Civic partisipation discussion with children and parents, Education film showing, and sports	\N	Civic partisipation discussion with children and parents, Education film showing, and sports	\N	\N	2003-03-01	2003-03-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1222	Business Management Training	\N	Business Management Training	\N	\N	National training for veterans on business management	\N	National training for veterans on business management	\N	\N	2003-07-01	2003-07-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1228	Civic Education	\N	Civic Education	\N	\N	\N	\N	\N	\N	\N	2004-01-01	2004-01-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24167	Increase production of Agricola  techniques Agriculture Sustainable Development	\N	Increase production of Agricola  techniques Agriculture Sustainable Development	\N	\N	Provide capacity for them how Planting rice farm	\N	Provide capacity for them how Planting rice farm	\N	\N	2012-06-18	2015-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1246	CADET- Canadian Assistance to Demobilization in East Timor	\N	CADET- Canadian Assistance to Demobilization in East Timor	\N	\N	CADET had two components. A demobilization component that worked within the structure of the nation-	\N	CADET had two components. A demobilization component that worked within the structure of the nation-	\N	\N	2002-01-01	2002-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1248	Community Based Natural Resource Management	\N	Community Based Natural Resource Management	\N	\N	Rehabilitataion of natural resources by improved fallow systems, tree planting, and control of grazi	\N	Rehabilitataion of natural resources by improved fallow systems, tree planting, and control of grazi	\N	\N	2001-10-01	2004-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1253	Clean Water Supply in COCOA	\N	Clean Water Supply in COCOA	\N	\N	\N	\N	\N	\N	\N	2003-10-18	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1263	Post-Harvest Storage	\N	Post-Harvest Storage	\N	\N	Sustainable Agriculture, storage of grains and seeds, milling and drying	\N	Sustainable Agriculture, storage of grains and seeds, milling and drying	\N	\N	2000-01-01	2000-01-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1264	Food and Livelihood Security through improved crop production	\N	Food and Livelihood Security through improved crop production	\N	\N	Technical assistance with sustainable agriculture, water systems, income generating activities	\N	Technical assistance with sustainable agriculture, water systems, income generating activities	\N	\N	2000-01-01	2000-01-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1267	Seed Supply Systems	\N	Seed Supply Systems	\N	\N	Home gardens, crop trials, and seed saving - sustainable agriculture, administration and operation	\N	Home gardens, crop trials, and seed saving - sustainable agriculture, administration and operation	\N	\N	2000-01-01	2000-01-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
