24030	Baucau Maternal and Child Health (MCH) Project	\N	Baucau Maternal and Child Health (MCH) Project	\N	\N	Maternal and Child Health Nutrition	\N	Maternal and Child Health Nutrition	\N	\N	2010-10-01	2016-09-01	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24077	Agriculture	\N	Agriculture	\N	\N	Horticulture	\N	Horticulture	\N	\N	2010-12-01	2014-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24189	Strengthen Agriculture	\N	Strengthen Agriculture	\N	\N	In The Program Strengthen Agriculture And Horti Culture	\N	In The Program Strengthen Agriculture And Horti Culture	\N	\N	2014-07-25	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24649	Handicraft	\N	Handicraft	\N	\N	Sewing bags and wallets	\N	Sewing bags and wallets	\N	\N	2012-01-01	2015-07-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
598	TL 4 Laclo Drinking Water - Supply System	\N	TL 4 Laclo Drinking Water - Supply System	\N	\N	\N	\N	\N	\N	\N	2007-03-07	2007-09-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
600	An-Power kapasity for  Development Education Non-Formal and Infantil	\N	An-Power kapasity for  Development Education Non-Formal and Infantil	\N	\N	\N	\N	\N	\N	\N	2007-02-07	2007-03-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24115	ISAT Skills Training Academy	\N	ISAT Skills Training Academy	\N	\N	Participants in the First Aid course will gain the necessary skills	\N	Participants in the First Aid course will gain the necessary skills	\N	\N	2014-04-07	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
659	Fishing Taining on Sea Cucumber	\N	Fishing Taining on Sea Cucumber	\N	\N	\N	\N	\N	\N	\N	2003-05-13	2003-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
663	Oecusse returnee support project	\N	Oecusse returnee support project	\N	\N	To succesfully undertake the repatriation/reconciliation activities currently undertaken by UNHCR	\N	To succesfully undertake the repatriation/reconciliation activities currently undertaken by UNHCR	\N	\N	2002-08-01	2005-07-05	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22962	Apoio ao Fortalecimento do Programa de Merendar Escolar de Timor Leste	\N	Apoio ao Fortalecimento do Programa de Merendar Escolar de Timor Leste	\N	\N	On-going	\N	On-going	\N	\N	2010-02-11	2012-02-11	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24125	ICT Program	\N	ICT Program	\N	\N	Media, Comunication, Technology and Alternative	\N	Media, Comunication, Technology and Alternative	\N	\N	2014-01-20	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23974	Socialization Of Domestic Violence	\N	Socialization Of Domestic Violence	\N	\N	Socialization for Students	\N	Socialization for Students	\N	\N	2014-02-01	2015-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
740	Information and Training Center	\N	Information and Training Center	\N	\N	To provide training in trade and vocational skills to support the micro-finance project.  Also provi	\N	To provide training in trade and vocational skills to support the micro-finance project.  Also provi	\N	\N	2002-07-01	2003-06-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
746	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
769	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
770	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24141	Self Sustainability Activity Project	\N	Self Sustainability Activity Project	\N	\N	Computer, administration, and English courses	\N	Computer, administration, and English courses	\N	\N	2009-04-01	\N	2016-09-19	\N	\N	\N	\N	\N	C	\N	\N	\N
25031	Enhance Community Health Worker Services	\N	Enhance Community Health Worker Services	\N	\N	Support Program SISCA in Ermera Municipality	\N	Support Program SISCA in Ermera Municipality	\N	\N	2017-05-01	2020-01-31	2017-06-14	\N	\N	\N	\N	\N	A	1	\N	\N
23220	Homan	\N	Homan	\N	\N	Hamutuk ho membru grupu homan pasta, kartera, kohe mama, raga aifunan, sapeo	\N	Hamutuk ho membru grupu homan pasta, kartera, kohe mama, raga aifunan, sapeo	\N	\N	2003-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
25066	Projeto Comunidade Saudavel	\N	\N	Projeto Comunidade Saudavel	\N	Aumento em 80% a percentagem de mulheres e criancas com acesso a cuidados de saude atraves do SISCA	\N	\N	Aumento em 80% a percentagem de mulheres e criancas com acesso a cuidados de saude atraves do SISCA	\N	2010-01-01	\N	2017-07-14	Continuação	\N	\N	Continuação	\N	A	1	\N	\N
810	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
820	Agriculture Tranning (Making Teras sering/Water and soil conservation thecnical)	\N	Agriculture Tranning (Making Teras sering/Water and soil conservation thecnical)	\N	\N	How to increase the cappacity  memers of the group  in Agricuture sectors	\N	How to increase the cappacity  memers of the group  in Agricuture sectors	\N	\N	2005-11-01	2005-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24738	Proteksaun no Manutensaun ba kualidade be'e moos	\N	Proteksaun no Manutensaun ba kualidade be'e moos	\N	\N	Halo Proteksaun no manutensaun ba be'e matan	\N	Halo Proteksaun no manutensaun ba be'e matan	\N	\N	2015-09-01	2015-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
826	Management training : Finance management,Organization management, and Lidership,Marketing	\N	Management training : Finance management,Organization management, and Lidership,Marketing	\N	\N	How to increase the cappacity the members of the group	\N	How to increase the cappacity the members of the group	\N	\N	2002-11-05	2005-02-12	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
833	Capacity Development for organization	\N	Capacity Development for organization	\N	\N	Suport Computer for this organization to do the activity	\N	Suport Computer for this organization to do the activity	\N	\N	2005-06-20	2005-06-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
884	Training and Promotion to saroa (Agriculture)	\N	Training and Promotion to saroa (Agriculture)	\N	\N	\N	\N	\N	\N	\N	2005-11-01	2006-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24177	Climate Change Prevention	\N	Climate Change Prevention	\N	\N	Planting trees and tree nurseries to divide the community	\N	Planting trees and tree nurseries to divide the community	\N	\N	2014-03-01	2014-10-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24124	Gender Equality	\N	Gender Equality	\N	\N	Law violation woman, Domestic Violence, Court Monitoring, training for law	\N	Law violation woman, Domestic Violence, Court Monitoring, training for law	\N	\N	2014-03-03	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24653	Rural Development	\N	Rural Development	\N	\N	Increase public knowledge of the rural area through training and facilitation training to	\N	Increase public knowledge of the rural area through training and facilitation training to	\N	\N	2002-03-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24130	Health	\N	Health	\N	\N	Water  Sanitation, Latrine, Higine, Envairoment, & Sanitation Promotion	\N	Water  Sanitation, Latrine, Higine, Envairoment, & Sanitation Promotion	\N	\N	2013-02-25	2015-02-27	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
962	IGAs (Income Generation Activities)	\N	IGAs (Income Generation Activities)	\N	\N	\N	\N	\N	\N	\N	2006-02-01	2007-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
964	Staff Training	\N	Staff Training	\N	\N	\N	\N	\N	\N	\N	2005-08-01	2005-08-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
970	Organizational Strengthening	\N	Organizational Strengthening	\N	\N	\N	\N	\N	\N	\N	2004-10-01	2008-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
984	Income Generation Activity (IGA)	\N	Income Generation Activity (IGA)	\N	\N	Saving and Credit	\N	Saving and Credit	\N	\N	2005-09-03	2007-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24128	Peace Building Project	\N	Peace Building Project	\N	\N	Sosialization  Information peace to Youth and network service in rural area	\N	Sosialization  Information peace to Youth and network service in rural area	\N	\N	2013-01-13	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1002	LAFAEK: Children's Rights Magazine	\N	LAFAEK: Children's Rights Magazine	\N	\N	Children's magazine and teacher's guide for primary school children, designed to increase awareness	\N	Children's magazine and teacher's guide for primary school children, designed to increase awareness	\N	\N	2000-11-01	2002-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1011	SOA (Social Operation Appeal)	\N	SOA (Social Operation Appeal)	\N	\N	\N	\N	\N	\N	\N	2007-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1029	Issue Domestic Violence	\N	Issue Domestic Violence	\N	\N	\N	\N	\N	\N	\N	2004-08-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
2777	Human Rights	\N	Human Rights	\N	\N	\N	\N	\N	\N	\N	2008-02-01	2008-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24182	Sustainable Agriculture Development	\N	Sustainable Agriculture Development	\N	\N	Tharcugh aero & biodiviercity	\N	Tharcugh aero & biodiviercity	\N	\N	2014-05-01	2015-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24183	Protection for accident	\N	Protection for accident	\N	\N	Make socialization in the community how the accident protection	\N	Make socialization in the community how the accident protection	\N	\N	2012-01-01	\N	2016-09-14	\N	\N	\N	\N	\N	C	\N	\N	\N
24140	Construction School EBC Manleuana Project	\N	Construction School EBC Manleuana Project	\N	\N	Building New School in Manleuana Dili - East Timor	\N	Building New School in Manleuana Dili - East Timor	\N	\N	2013-12-01	2014-05-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1112	Management training	\N	Management training	\N	\N	Reforce the communities had benefit for using water to how to manage the material for long term	\N	Reforce the communities had benefit for using water to how to manage the material for long term	\N	\N	2004-04-28	2004-05-05	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24132	Clinic Program	\N	Clinic Program	\N	\N	Sosialization Reproductive Health For Youth & Women	\N	Sosialization Reproductive Health For Youth & Women	\N	\N	2013-02-18	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
25032	Education non Formal	\N	Education non Formal	\N	\N	Provide training computer use the program Autocad, Scetsap, BOQ and courses english languages	\N	Provide training computer use the program Autocad, Scetsap, BOQ and courses english languages	\N	\N	2013-10-01	\N	2017-06-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
23516	Food Security	\N	Food Security	\N	\N	Building food security & resilence among house hold	\N	Building food security & resilence among house hold	\N	\N	2010-01-01	2013-12-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24113	Disastre Risk Reduction (DRR)	\N	Disastre Risk Reduction (DRR)	\N	\N	Natural Resources, Environment and Energy	\N	Natural Resources, Environment and Energy	\N	\N	2014-02-24	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
25067	Orcamento Programa NO 1 TL/PALOP-TL/FED	\N	\N	Orcamento Programa NO 1 TL/PALOP-TL/FED	\N	\N	\N	\N	\N	\N	2015-04-28	\N	2017-07-14	Continuação	\N	\N	Continuação	\N	A	1	\N	\N
1139	Microcredit Traning	\N	Microcredit Traning	\N	\N	Training for the small group in Baguia sub district	\N	Training for the small group in Baguia sub district	\N	\N	2004-09-30	2011-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1170	Management Training	\N	Management Training	\N	\N	To increase and recognize the capacity for women group in rural area	\N	To increase and recognize the capacity for women group in rural area	\N	\N	2004-07-13	2008-04-21	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24191	Education Formal	\N	Education Formal	\N	\N	Established schools, Group Woman, Youth, Exchange study, Radio Cave ext	\N	Established schools, Group Woman, Youth, Exchange study, Radio Cave ext	\N	\N	2002-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1183	Management Training	\N	Management Training	\N	\N	To increase capacity for women group in rural area	\N	To increase capacity for women group in rural area	\N	\N	2002-10-01	2003-02-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1185	Bridge Rehabilitation	\N	Bridge Rehabilitation	\N	\N	Rehabilitating a bridge from the Carau-Ulun aldeia to the suco	\N	Rehabilitating a bridge from the Carau-Ulun aldeia to the suco	\N	\N	2003-12-01	2004-03-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1213	Build Sanitation project	\N	Build Sanitation project	\N	\N	\N	\N	\N	\N	\N	2004-02-18	2004-02-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24164	Agriculture Program	\N	Agriculture Program	\N	\N	Maintaining fish	\N	Maintaining fish	\N	\N	2013-05-15	2016-11-30	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1217	Violence Domestic workshop	\N	Violence Domestic workshop	\N	\N	Monitoring and Evaluation in 5 sucos in Atabae sub district	\N	Monitoring and Evaluation in 5 sucos in Atabae sub district	\N	\N	2004-03-04	2004-03-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1228	Civic Education	\N	Civic Education	\N	\N	\N	\N	\N	\N	\N	2004-01-01	2004-01-04	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24167	Increase production of Agricola  techniques Agriculture Sustainable Development	\N	Increase production of Agricola  techniques Agriculture Sustainable Development	\N	\N	Provide capacity for them how Planting rice farm	\N	Provide capacity for them how Planting rice farm	\N	\N	2012-06-18	2015-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1246	CADET- Canadian Assistance to Demobilization in East Timor	\N	CADET- Canadian Assistance to Demobilization in East Timor	\N	\N	CADET had two components. A demobilization component that worked within the structure of the nation-	\N	CADET had two components. A demobilization component that worked within the structure of the nation-	\N	\N	2002-01-01	2002-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1248	Community Based Natural Resource Management	\N	Community Based Natural Resource Management	\N	\N	Rehabilitataion of natural resources by improved fallow systems, tree planting, and control of grazi	\N	Rehabilitataion of natural resources by improved fallow systems, tree planting, and control of grazi	\N	\N	2001-10-01	2004-09-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1253	Clean Water Supply in COCOA	\N	Clean Water Supply in COCOA	\N	\N	\N	\N	\N	\N	\N	2003-10-18	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1274	Rural Community Water and Sanitation Project	\N	Rural Community Water and Sanitation Project	\N	\N	Construction of drinking water supply systems and sanitation facilities, addressing environmental he	\N	Construction of drinking water supply systems and sanitation facilities, addressing environmental he	\N	\N	2001-03-01	2004-04-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1277	Economic Empowerment	\N	Economic Empowerment	\N	\N	Restaurant	\N	Restaurant	\N	\N	2004-02-10	2008-05-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24188	Agriculture	\N	Agriculture	\N	\N	With farmers planting trees	\N	With farmers planting trees	\N	\N	2013-05-01	\N	2016-09-14	\N	\N	\N	\N	\N	C	\N	\N	\N
1283	Permaculture Training Center	\N	Permaculture Training Center	\N	\N	\N	\N	\N	\N	\N	2005-03-01	2005-12-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
25033	Capacity Building	\N	Capacity Building	\N	\N	Provide training theatre for youth in municipality	\N	Provide training theatre for youth in municipality	\N	\N	2017-04-01	\N	2017-06-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
25068	Financial Audit of RDP IV-DA FED/2011/278069 Signed with GIZ	\N	Financial Audit of RDP IV-DA FED/2011/278069 Signed with GIZ	\N	\N	\N	\N	\N	\N	\N	2016-07-01	\N	2017-07-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
1361	Domestic Violence Prevention Programme	\N	Domestic Violence Prevention Programme	\N	\N	\N	\N	\N	\N	\N	2003-10-07	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1364	Oecussi Returnee support programmes	\N	Oecussi Returnee support programmes	\N	\N	\N	\N	\N	\N	\N	2005-06-09	2008-04-21	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1374	Dare Community Water Supply	\N	Dare Community Water Supply	\N	\N	\N	\N	\N	\N	\N	2003-12-18	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24181	Training & employment Support Program (TESP)	\N	Training & employment Support Program (TESP)	\N	\N	Ensuring that young people, women end people with disabilities have access to good	\N	Ensuring that young people, women end people with disabilities have access to good	\N	\N	2013-01-31	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24150	Strengthen Agricultural Program Group	\N	Strengthen Agricultural Program Group	\N	\N	Improve the management of the group, Improve the structure, Improve financial management, and	\N	Improve the management of the group, Improve the structure, Improve financial management, and	\N	\N	2013-05-20	2016-11-30	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24175	Peaceful strengthen youth participation in Timor Leste	\N	Peaceful strengthen youth participation in Timor Leste	\N	\N	Provide training on leadership and prevent for all the youth of rural areas	\N	Provide training on leadership and prevent for all the youth of rural areas	\N	\N	2014-10-01	2015-09-30	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1573	Water and Sanitation	\N	Water and Sanitation	\N	\N	\N	\N	\N	\N	\N	2005-10-01	2006-03-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24152	Make advocacy for all women who work as domestic servants	\N	Make advocacy for all women who work as domestic servants	\N	\N	\N	\N	\N	\N	\N	2013-08-12	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24139	Transgender Law on Aquaculture	\N	Transgender Law on Aquaculture	\N	\N	Renewable Energy, Alternative Cook Stove	\N	Renewable Energy, Alternative Cook Stove	\N	\N	2010-10-01	2015-12-31	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
1754	On lending funds	\N	On lending funds	\N	\N	\N	\N	\N	\N	\N	2004-07-23	2005-06-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1755	Funding a training of the income generation	\N	Funding a training of the income generation	\N	\N	Pantai Kelapa	\N	Pantai Kelapa	\N	\N	2004-06-11	2006-01-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22958	Capacity development of RTTL	\N	Capacity development of RTTL	\N	\N	\N	\N	\N	\N	\N	2008-12-10	2012-12-12	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22956	Health Volunteers Rice incentive Scheme	\N	Health Volunteers Rice incentive Scheme	\N	\N	Improve sustainability of natural resources through local capacity building	\N	Improve sustainability of natural resources through local capacity building	\N	\N	2011-09-01	2013-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22957	Education (Brazil)	\N	Education (Brazil)	\N	\N	On-going	\N	On-going	\N	\N	2008-01-01	2012-12-10	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
22960	Fortalecimento do Servi?o Nacional de Intelegencia de Timor Leste	\N	Fortalecimento do Servi?o Nacional de Intelegencia de Timor Leste	\N	\N	On-going	\N	On-going	\N	\N	2010-06-01	2012-12-12	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1824	Training small business	\N	Training small business	\N	\N	To improve their capacitiesof marketing system in small business area	\N	To improve their capacitiesof marketing system in small business area	\N	\N	2004-08-06	2004-09-29	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1825	Training small business	\N	Training small business	\N	\N	To improve their capacitiesof marketing system in small business area	\N	To improve their capacitiesof marketing system in small business area	\N	\N	2004-08-06	2004-09-29	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1830	Training Small Business	\N	Training Small Business	\N	\N	To improve their capacities of marketing system in small business area	\N	To improve their capacities of marketing system in small business area	\N	\N	2004-08-06	2004-09-29	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1835	Provide fishing equipment and small business management training	\N	Provide fishing equipment and small business management training	\N	\N	Provide fishing equipment include one boat for Lau Tenu fishing group in Puno, Maina II	\N	Provide fishing equipment include one boat for Lau Tenu fishing group in Puno, Maina II	\N	\N	2005-04-22	2005-07-29	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24149	Encourage community leadership to meet the concerns of women	\N	Encourage community leadership to meet the concerns of women	\N	\N	Capacity Building to women, and increase the capacity of the Community Leadership	\N	Capacity Building to women, and increase the capacity of the Community Leadership	\N	\N	2012-11-12	2015-11-30	2016-07-05	\N	\N	\N	\N	\N	C	\N	\N	\N
23576	Justice Project	\N	Justice Project	\N	\N	Provide Training for lawyers in the legal training centre Caicoli	\N	Provide Training for lawyers in the legal training centre Caicoli	\N	\N	2009-12-01	\N	2016-11-09	\N	\N	\N	\N	\N	C	\N	\N	\N
1992	Micro Finance in Dili	\N	Micro Finance in Dili	\N	\N	Providing small loans to poor entrepreneurs in Dili.  Includes individual and group lending programs	\N	Providing small loans to poor entrepreneurs in Dili.  Includes individual and group lending programs	\N	\N	\N	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
1999	Social Service	\N	Social Service	\N	\N	\N	\N	\N	\N	\N	2004-01-16	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
2020	Training Program	\N	Training Program	\N	\N	Conflict Resolution, Domestic and Sexual Violence, and Human Rights training	\N	Conflict Resolution, Domestic and Sexual Violence, and Human Rights training	\N	\N	\N	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24171	Breast Milk (Breast milk)	\N	Breast Milk (Breast milk)	\N	\N	Promotes breast milk to baby in district and area remote	\N	Promotes breast milk to baby in district and area remote	\N	\N	2004-01-21	2014-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
25034	Support for Effective Aid Management	\N	Support for Effective Aid Management	\N	\N	Improved Proceses and system within the Ministry of Finance for managing development	\N	Improved Proceses and system within the Ministry of Finance for managing development	\N	\N	2010-12-10	\N	2017-06-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
2076	Ainaro and Manatuto Community Activation (AMCAP)	\N	Ainaro and Manatuto Community Activation (AMCAP)	\N	\N	Seed multiplication, upland farming, water catchment management and reforestation, coomunity nursery	\N	Seed multiplication, upland farming, water catchment management and reforestation, coomunity nursery	\N	\N	2002-01-14	2006-12-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24079	Agriculture Sustainability	\N	Agriculture Sustainability	\N	\N	Planting rice with organic fertilizers	\N	Planting rice with organic fertilizers	\N	\N	2014-02-03	2014-06-29	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24661	Technical Cooperation in the Maritime Transport Sector	\N	Technical Cooperation in the Maritime Transport Sector	\N	\N	Improvement of maritime safety, security and protection of the environment	\N	Improvement of maritime safety, security and protection of the environment	\N	\N	2006-01-01	2016-12-30	2017-06-20	\N	\N	\N	\N	\N	C	\N	\N	\N
25069	Creating a healthy environment for children in rural comunities	\N	Creating a healthy environment for children in rural comunities	\N	\N	Improved sanitation and hygiene knowledge and practices in 107 villages	\N	Improved sanitation and hygiene knowledge and practices in 107 villages	\N	\N	2011-09-01	\N	2017-07-14	Ongoing	\N	Ongoing	\N	\N	A	1	\N	\N
23984	Capacity building	\N	Capacity building	\N	\N	\N	\N	\N	\N	\N	2010-01-01	2013-11-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
2193	Nutrition surveillance and training	\N	Nutrition surveillance and training	\N	\N	1) Nutrition Surveillance. 2) Nutrition training of DPHO	\N	1) Nutrition Surveillance. 2) Nutrition training of DPHO	\N	\N	2000-07-01	2001-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
2214	CSO Support Programme	\N	CSO Support Programme	\N	\N	Supporting the Development of local NGO's and Civil Soviety Organizational Support	\N	Supporting the Development of local NGO's and Civil Soviety Organizational Support	\N	\N	2004-08-03	2004-06-05	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24160	Ending Violence Against Women (EVAW) Program	\N	Ending Violence Against Women (EVAW) Program	\N	\N	Reducing levels of violence, improving services, and strengthening judicial Processes	\N	Reducing levels of violence, improving services, and strengthening judicial Processes	\N	\N	2014-04-01	2017-06-30	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
