79	2012	A visual guide of key findings from the baseline survey of the Regional Fisheries Livelihoods Programme for South and Southeast Asia (RFLP) in Timor Leste	\N	A visual guide of key findings from the baseline survey of the Regional Fisheries Livelihoods Programme for South and Southeast Asia (RFLP) in Timor Leste	\N	\N	\N	\N	\N	\N	\N	RPR
80	2013	Community based data gathering and co-management of marine resources in Timor-Leste	\N	Community based data gathering and co-management of marine resources in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
81	2007	FAO/WFP Crop and food supply assessment mission	\N	FAO/WFP Crop and food supply assessment mission	\N	\N	\N	\N	\N	\N	\N	RPR
66	0	Belun Trimester Report	Relatoriu Trimestral	Belun Trimester Report	\N	\N	\N	\N	\N	\N	\N	RPR
99	2008	Gender dimensions in vocational training in Timor-Leste	\N	Gender dimensions in vocational training in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
43	2007	Books for Asia - East Timor	Livru ba Ázia	Books for Asia - East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
58	2014	Community policing in Timor-Leste	Polisiamentu Komunitária iha Timor-Leste	Community policing in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
44	2007	Conflict management and prevention in East Timor	Jestaun no prevensaun ba konflitu iha Timor-Leste	Conflict management and prevention in East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
52	2013	Constitutional law in Timor-Leste	Lei Konstitusionál iha Timor-Leste	Constitutional law in Timor-Leste	Direito Constitucional em Timor-Leste	\N	\N	\N	\N	\N	\N	RPR
53	2013	Contract law in Timor-Leste	Lei Kontratus iha Timor-Leste	Contract law in Timor-Leste	Direito dos Contratos em Timor-Leste	\N	\N	\N	\N	\N	\N	RPR
54	2013	Glosáriu jurídiku ba pratikante sira iha Timor-Leste	Glosáriu jurídiku ba pratikante sira iha Timor-Leste	Glosáriu jurídiku ba pratikante sira iha Timor-Leste	\N	\N	\N	\N	\N	\N	\N	GLS
61	2014	In Focus: Community-Police cooperation	Iha Foku: Kooperasaun Komunidade no Polísia	In Focus: Community-Police cooperation	\N	\N	\N	\N	\N	\N	\N	BRF
62	2014	In Focus: Justice-seeking behavior	Iha Foku: Lala’ok buka justisa	In Focus: Justice-seeking behavior	\N	\N	\N	\N	\N	\N	\N	BRF
63	2014	In Focus: PNTL background and performance	Iha Foku: Antesedénsia & Dezenpeñu PNTL nian	In Focus: PNTL background and performance	\N	\N	\N	\N	\N	\N	\N	BRF
64	2014	In Focus: Security Situation	Iha Foku: Situasaun Seguransa	In Focus: Security Situation	\N	\N	\N	\N	\N	\N	\N	BRF
42	2006	Legal reform in East Timor	Reforma legál iha Timor-Leste	Legal reform in East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
41	2014	Local leadership of community policing practices in Timor-Leste	Lideransa lokál kona-ba prátika polisiamentu komunitária iha Timor-Leste	Local leadership of community policing practices in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
48	2012	Matadalan ba kazu paternidade	Matadalan ba kazu paternidade	Matadalan ba kazu paternidade	\N	\N	\N	\N	\N	\N	\N	GDL
49	2012	Matadalan be Xefe Suku nia knaar	Matadalan be Xefe Suku nia knaar	Matadalan be Xefe Suku nia knaar	\N	\N	\N	\N	\N	\N	\N	GDL
50	2012	Matadalan espesífiku kona-ba kazu divórsiu	Matadalan espesífiku kona-ba kazu divórsiu	Matadalan espesífiku kona-ba kazu divórsiu	\N	\N	\N	\N	\N	\N	\N	GDL
46	2012	Professional responsibility in Timor-Leste	Introdusaun ba responsabilidade profisionál iha Timor-Leste	Professional responsibility in Timor-Leste	Deontologia Profissional em Timor-Leste	\N	\N	\N	\N	\N	\N	RPR
51	2012	Saida mak violénsia doméstika?	Saida mak violénsia doméstika?	Saida mak violénsia doméstika?	\N	\N	\N	\N	\N	\N	\N	BRC
55	2013	Timor Leste Public Opinion Poll - March 2013	Timor-Leste Survey Opiniaun Públiku - Marsu 2013	Timor Leste Public Opinion Poll - March 2013	\N	\N	\N	\N	\N	\N	\N	RPR
59	2014	Timor Leste Public Opinion Poll - March 2014	Timor-Leste Survey Opiniaun Públiku - Marsu 2014	Timor Leste Public Opinion Poll - March 2014	\N	\N	\N	\N	\N	\N	\N	RPR
56	2013	Timor Leste Public Opinion Poll - September 2013	Timor-Leste Survey Opiniaun Públiku - Setembru 2013	Timor Leste Public Opinion Poll - September 2013	\N	\N	\N	\N	\N	\N	\N	RPR
45	2007	Women's empowerment programs in East Timor	Programa habiit feto sira iha Timor-Leste	Women's empowerment programs in East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
57	2013	Tara-Bandu ho nia papél ba prevensaun konflitu iha komunidade Timor-Leste	Tara-Bandu ho nia papél ba prevensaun konflitu iha komunidade Timor-Leste	Tara-Bandu ho nia papél ba prevensaun konflitu iha komunidade Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
84	2006	Timor-Leste special edition, January 2006	\N	Timor-Leste special edition, January 2006	\N	\N	\N	\N	\N	\N	\N	RPR
85	2014	ILO Timor-Leste newsletter, April 2004	\N	ILO Timor-Leste newsletter, April 2004	\N	\N	\N	\N	\N	\N	\N	NWS
86	2014	ILO works in Timor-Leste: 2013 results	\N	ILO works in Timor-Leste: 2013 results	\N	\N	\N	\N	\N	\N	\N	RPR
87	2007	Rapid assessment on child labour in Timor-Leste	Estudu sumáriu kona-ba servicu labarik iha Timor-Leste	Rapid assessment on child labour in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
88	2009	Timor-Leste national youth employment action plan (NYEAP) 2009	 Planu Asaun Nasional Empregu ba Foin-sa'e sira	Timor-Leste national youth employment action plan (NYEAP) 2009	Plano de Acção Nacional para o Emprego dos Jovens. 	\N	\N	\N	\N	\N	\N	RPR
89	2012	Report on value change analysis of the cattle sector in Bobonaro and Lautem districts, Timor-Leste	\N	Report on value change analysis of the cattle sector in Bobonaro and Lautem districts, Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
90	2009	Decent work country programme	\N	Decent work country programme	\N	\N	\N	\N	\N	\N	\N	RPR
91	2008	Timor-Leste key labour market indicators December 2008	\N	Timor-Leste key labour market indicators December 2008	\N	\N	\N	\N	\N	\N	\N	RPR
92	2008	Timor-Leste national employment strategy December 2008	\N	Timor-Leste national employment strategy December 2008	\N	\N	\N	\N	\N	\N	\N	RPR
93	2009	Employment-intensive infrastructure works (TIM-Works) in Timor-Leste	\N	Employment-intensive infrastructure works (TIM-Works) in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	FCT
94	2009	Enterpreneurship Education	\N	Enterpreneurship Education	\N	\N	\N	\N	\N	\N	\N	FCT
95	2009	Fact sheet on labour market information (LMI) project in Timor-Leste	\N	Fact sheet on labour market information (LMI) project in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	FCT
96	2009	Self employment promotion and enterprise development in Timor-Leste	\N	Self employment promotion and enterprise development in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	FCT
97	2009	Youth employment creation through self-employment promotion and micro and small enterprise development in Timor -Leste rural areas	\N	Youth employment creation through self-employment promotion and micro and small enterprise development in Timor -Leste rural areas	\N	\N	\N	\N	\N	\N	\N	RPR
98	2009	Youth employment in Timor-Leste	\N	Youth employment in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	FCT
100	2007	Yes Youth Employment Study Timor-Leste 2007	\N	Yes Youth Employment Study Timor-Leste 2007	\N	\N	\N	\N	\N	\N	\N	RPR
101	2008	IOM Community Based Data Collect and Analysis for Sustainable Return: July-August 2008 results	\N	IOM Community Based Data Collect and Analysis for Sustainable Return: July-August 2008 results	\N	\N	\N	\N	\N	\N	\N	RPR
102	2008	IOM October- November 2008 Monitoring  Report: Community and IDP Survey	\N	IOM October- November 2008 Monitoring  Report: Community and IDP Survey	\N	\N	\N	\N	\N	\N	\N	RPR
103	2008	IOM September-November 2008 Monitoring Report, Chefe Aldeias Surveys	\N	IOM September-November 2008 Monitoring Report, Chefe Aldeias Surveys	\N	\N	\N	\N	\N	\N	\N	RPR
104	2008	Revised Methodology for Return Monitoring Survey	\N	Revised Methodology for Return Monitoring Survey	\N	\N	\N	\N	\N	\N	\N	RPR
105	2009	IOM December 2008 - February 2009 Monitoring report: Chefes Aldeias Surveys	\N	IOM December 2008 - February 2009 Monitoring report: Chefes Aldeias Surveys	\N	\N	\N	\N	\N	\N	\N	RPR
106	2009	IOM Return Monitoring Report: Community and Former IDP Household Surveys	\N	IOM Return Monitoring Report: Community and Former IDP Household Surveys	\N	\N	\N	\N	\N	\N	\N	RPR
107	2009	Returned, Resettled, Redisplaced Families by Suco 2006-2009: Chefes de Aldeais 	\N	Returned, Resettled, Redisplaced Families by Suco 2006-2009: Chefes de Aldeais 	\N	\N	\N	\N	\N	\N	\N	MP
108	2013	IOM Timor-Leste Strategic Plan 2011-2013 	\N	IOM Timor-Leste Strategic Plan 2011-2013 	\N	\N	\N	\N	\N	\N	\N	RPR
109	2008	Potential for small area estimation and poverty mapping in Timor-Leste	\N	Potential for small area estimation and poverty mapping in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
110	2012	MDG Achievement Fund Final Evaluation Timor-Leste	\N	MDG Achievement Fund Final Evaluation Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
111	2014	Mapping of migration data sources iin Timor-Leste	\N	Mapping of migration data sources iin Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
112	2013	New country, new needs, new responses: Irregular labour migration to Timor-Leste	Novo país, novas necessidades, novas respostas: A migração irregular de trabalhadores em Timor-Leste	New country, new needs, new responses: Irregular labour migration to Timor-Leste	Um país em movimento: Perfil das migrações internas em Timor-Leste	\N	\N	\N	\N	\N	\N	RPR
113	2011	Timor-Leste strategic development plan 2011-2030	\N	Timor-Leste strategic development plan 2011-2030	\N	\N	\N	\N	\N	\N	\N	RPR
114	2010	RDTL Millennium development goals	\N	RDTL Millennium development goals	\N	\N	\N	\N	\N	\N	\N	RPR
115	2010	Justice sector strategic plan for Timor-Leste 2011-2030	Setór justisa planu estratéjiku ba Timor-Leste 2011-2030	Justice sector strategic plan for Timor-Leste 2011-2030	Setor da justiça plano estratégico para Timor-Leste 2011-2030	\N	\N	\N	\N	\N	\N	RPR
116	2010	Timor-Leste labour force survey	\N	Timor-Leste labour force survey	\N	\N	\N	\N	\N	\N	\N	RPR
117	2011	UNCDF special projects implementation review exercise (SPIRE)	\N	UNCDF special projects implementation review exercise (SPIRE)	\N	\N	\N	\N	\N	\N	\N	RPR
118	2007	 Local governance support programme Timor-Leste	\N	 Local governance support programme Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
119	2008	INFUSE	\N	INFUSE	\N	\N	\N	\N	\N	\N	\N	RPR
120	2010	Mid-term evaluation. Local government support programme (LGSP). Volume 1: Main report	\N	Mid-term evaluation. Local government support programme (LGSP). Volume 1: Main report	\N	\N	\N	\N	\N	\N	\N	RPR
126	2011	The national biodiversity strategy and action plan of Timor-Leste (2011-2020)	\N	The national biodiversity strategy and action plan of Timor-Leste (2011-2020)	\N	\N	\N	\N	\N	\N	\N	RPR
127	2011	Timor-Leste's  fourth national report to the UN convention on biological diversity	\N	Timor-Leste's  fourth national report to the UN convention on biological diversity	\N	\N	\N	\N	\N	\N	\N	RPR
128	2012	Summary Report. Consultation on post 2015-MDG in Timor-Leste 	\N	Summary Report. Consultation on post 2015-MDG in Timor-Leste 	\N	\N	\N	\N	\N	\N	\N	RPR
129	2004	Timor-Leste millennium development goals report	\N	Timor-Leste millennium development goals report	\N	\N	\N	\N	\N	\N	\N	RPR
130	2009	The Millennium Development Goals, Timor-Leste	\N	The Millennium Development Goals, Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
131	2010	National adaptation program of action on climate change	\N	National adaptation program of action on climate change	\N	\N	\N	\N	\N	\N	\N	RPR
132	2014	Sub-national governance and development programme	\N	Sub-national governance and development programme	\N	\N	\N	\N	\N	\N	\N	RPR
133	2003	A role for keeping places in the Timor Sea region	\N	A role for keeping places in the Timor Sea region	\N	\N	\N	\N	\N	\N	\N	JRN
257	2015	FM Nia Artigu Konaba Seguransa 05 Maiu 2015	FM Nia Artigu Konaba Seguransa 05 Maiu 2015	\N	\N	\N	\N	\N	\N	\N	\N	PRI
170	2004	Mortality monograph. Census population and housing 2004	Mortalidade monografia	Mortality monograph. Census population and housing 2004	\N	\N	\N	\N	\N	\N	\N	RPR
134	2011	Assessment of media development in Timor-Leste based on UNESCO's media development indicators	\N	Assessment of media development in Timor-Leste based on UNESCO's media development indicators	\N	\N	\N	\N	\N	\N	\N	RPR
135	2004	Learning independence: education in emergency and transition in Timor-Leste since 1999	\N	Learning independence: education in emergency and transition in Timor-Leste since 1999	\N	\N	\N	\N	\N	\N	\N	RPR
136	2000	No surrender in East Timor. Choosing the truth instead of sides	\N	No surrender in East Timor. Choosing the truth instead of sides	\N	\N	\N	\N	\N	\N	\N	RPR
137	2010	UNESCO Office Jakarta: Regional Science Bureau for Asia & Pacific, Cluster Office to Brunei Darussalam, Indonesia, Malaysia, Philippines, Timor-Leste	\N	UNESCO Office Jakarta: Regional Science Bureau for Asia & Pacific, Cluster Office to Brunei Darussalam, Indonesia, Malaysia, Philippines, Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
138	2011	Education for sustainable development country guidelines	\N	Education for sustainable development country guidelines	\N	\N	\N	\N	\N	\N	\N	RPR
139	2011	Final report UNESCO JFIT STRESCOM regional workshop.pdf	\N	Final report UNESCO JFIT STRESCOM regional workshop.pdf	\N	\N	\N	\N	\N	\N	\N	RPR
140	2011	Human rights protections for sexual minorities in insular Southeast Asia: issues and implications for effective HIV prevention	\N	Human rights protections for sexual minorities in insular Southeast Asia: issues and implications for effective HIV prevention	\N	\N	\N	\N	\N	\N	\N	RPR
141	2011	Promoting sub-regional education for sustainable development in South-East Asia	\N	Promoting sub-regional education for sustainable development in South-East Asia	\N	\N	\N	\N	\N	\N	\N	RPR
142	2011	UNESCO Timor Leste newsletter, volume 2, issue 1, April 2011	\N	UNESCO Timor Leste newsletter, volume 2, issue 1, April 2011	\N	\N	\N	\N	\N	\N	\N	NWS
143	2011	UNESCO Timor Leste newsletter, volume 2, issue 3, June 2011	\N	UNESCO Timor Leste newsletter, volume 2, issue 3, June 2011	\N	\N	\N	\N	\N	\N	\N	NWS
144	2011	UNESCO Timor Leste newsletter, volume 2, no. 4., July-Oct 2011	\N	UNESCO Timor Leste newsletter, volume 2, no. 4., July-Oct 2011	\N	\N	\N	\N	\N	\N	\N	NWS
145	2013	UNESCO Timor-Leste Newsletter, year 3, issue 1, March 2013	\N	UNESCO Timor-Leste Newsletter, year 3, issue 1, March 2013	\N	\N	\N	\N	\N	\N	\N	NWS
146	2011	Habiit Reziliensia Komunidade iha Tasi-ibun no Illa Ki'ik sira hodi hasoru Perigu Idrometeorolójiku no Impaktu Mudansa Klima nian	Habiit Reziliensia Komunidade iha Tasi-ibun no Illa Ki'ik sira hodi hasoru Perigu Idrometeorolójiku no Impaktu Mudansa Klima nian	Habiit Reziliensia Komunidade iha Tasi-ibun no Illa Ki'ik sira hodi hasoru Perigu Idrometeorolójiku no Impaktu Mudansa Klima nian	\N	\N	\N	\N	\N	\N	\N	RPR
147	2013	Revitalizing community traditional knowledge for sustainable livelihoods: fishing method	Hamoris fali komunidade nia matenek tradisionál ba moris ne'ebé sustentável: métodu peska	Revitalizing community traditional knowledge for sustainable livelihoods: fishing method	\N	\N	\N	\N	\N	\N	\N	PST
148	2013	Hamoris fali komunidade nia matenek tradisionál	Hamoris fali komunidade nia matenek tradisionál	Hamoris fali komunidade nia matenek tradisionál	\N	\N	\N	\N	\N	\N	\N	RPR
149	2013	Serimónia dada ró no haree bubur	Serimónia dada ró no haree bubur	Serimónia dada ró no haree bubur	\N	\N	\N	\N	\N	\N	\N	RPR
150	2011	Local knowledge of Timor, based on the national workshop on Promoting LINKS and SIDS Programmes in Timor Leste, Dili, Timor Leste, 7-8 June 2011	\N	Local knowledge of Timor, based on the national workshop on Promoting LINKS and SIDS Programmes in Timor Leste, Dili, Timor Leste, 7-8 June 2011	\N	\N	\N	\N	\N	\N	\N	RPR
151	2013	Effective literacy practices in Timor-Leste	\N	Effective literacy practices in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
152	2004	Obstacles to the effective participation of women in adult education program: focus on social-cultural factors	 Timor Leste	Obstacles to the effective participation of women in adult education program: focus on social-cultural factors	\N	\N	\N	\N	\N	\N	\N	RPR
153	2009	Timor-Leste: UNESCO country programming document 2009-2013	\N	Timor-Leste: UNESCO country programming document 2009-2013	\N	\N	\N	\N	\N	\N	\N	RPR
154	2014	Timor-Leste UNESCO country programming document, 2013-2014	\N	Timor-Leste UNESCO country programming document, 2013-2014	\N	\N	\N	\N	\N	\N	\N	RPR
155	2013	Safeguarding our traditional ecological knowledge related to coastal ecosystem	Kaer metin ita-nia matenek ekolójiku tradisionál ne'ebé iha relasaun ho moris peska mian	Safeguarding our traditional ecological knowledge related to coastal ecosystem	\N	\N	\N	\N	\N	\N	\N	PST
156	2013	Let's value and enrich our coastal ecosystem for the sustainable future of our community	Mai ita hafolin no haburas ita-nia ekosistema tasi-ibun ba ita-nia komunidade nia futuro sustentavel	Let's value and enrich our coastal ecosystem for the sustainable future of our community	\N	\N	\N	\N	\N	\N	\N	PST
157	2013	Ways to improve your traditional fishing methods to be more eco-friendly	Mai ita-hotu hafolin matenek bei’ala nian: hametin ita-nia lisan no tradisaun hodi salva ita-nia ambiente tasi	Ways to improve your traditional fishing methods to be more eco-friendly	\N	\N	\N	\N	\N	\N	\N	PST
158	2011	Plants in Timor Leste for textile production process	Ai-horis sira ne'ebé ami uza iha Timor-Leste	Plants in Timor Leste for textile production process	\N	\N	\N	\N	\N	\N	\N	RPR
